"SiteName","Period","PhaseCode","LabCode","C14Age","C14SD","Material","MaterialSpecies","After"
"Roc du Dourgne","EN","C5","MC-1101","5050","100","wood charcoal","n/d","MC-1102"
"Roc du Dourgne","EN","C5","MC-1102","6170","100","shell","Helix sp.","MC-1103"
"Roc du Dourgne","EN","C6","MC-1103","5100","80","wood charcoal","n/d","MC-1105"
"Roc du Dourgne","EN","C6","MC-1104","6470","100","shell","Helix sp.","MC-1105"
"Roc du Dourgne","EN","C6","MC-1105","5550","80","wood charcoal","n/d","MC-1107"
"Roc du Dourgne","LM","C7","MC-1107","6850","100","shell","Helix sp.",""
"Roc du Dourgne","EN","C6","MC-781","5000","170","wood charcoal","n/d",""
"Roc du Dourgne","LM","Layer 7","MC-782","5770","170","wood charcoal","n/d",""
